"CN","Year","UNU_Key"
"84431200","2000","0307"
"84431200","2001","0307"
"84431200","2002","0307"
"84431200","2003","0307"
"84431200","2004","0307"
"84431200","2005","0307"
"84431200","2006","0307"
"84431200","2007","0307"
"84433990","2008","0304"
"84433990","2009","0304"
"84433990","2010","0304"
"84433990","2011","0304"
"84690091","2008","0304"
"84690091","2009","0304"
"84690091","2010","0304"
"84690099","2008","0301"
"84690099","2009","0301"
"84690099","2010","0301"
"84701000","1996","0301"
"84701000","1997","0301"
"84701000","1998","0301"
"84701000","1999","0301"
"84701000","2004","0301"
"84701000","2005","0301"
"84701000","2006","0301"
"84701000","2007","0301"
"84702100","2004","0301"
"84702100","2005","0301"
"84702100","2006","0301"
"84702100","2007","0301"
"84702900","2004","0301"
"84702900","2005","0301"
"84702900","2006","0301"
"84702900","2007","0301"
"84705000","2004","0307"
"84705000","2005","0307"
"84705000","2006","0307"
"84705000","2007","0307"
"84709000","2004","0307"
"84709000","2005","0307"
"84709000","2006","0307"
"84709000","2007","0307"
"84711090","1994","0301"
"84711090","1995","0301"
"84713000","1998","0303"
"84713000","1999","0303"
"84714190","1998","0302"
"84714190","1999","0302"
"84714990","1998","0302"
"84714990","1999","0302"
"84715090","1998","0302"
"84715090","1999","0302"
"84716060","2007","0301"
"85161090","1997","0203"
"85161090","1998","0203"
"85161090","1999","0203"
"85161090","2000","0203"
"85161090","2001","0203"
"85161090","2002","0203"
"85161090","2003","0203"
"85161090","2004","0203"
"85198151","2008","0403"
"85198151","2009","0403"
"85198151","2010","0403"
"85272120","2008","0403"
"85272120","2009","0403"
"85272120","2010","0403"
"85272152","2008","0403"
"85272152","2009","0403"
"85272152","2010","0403"
"85272159","2008","0403"
"85272159","2009","0403"
"85272159","2010","0403"
"85272170","2008","0403"
"85272170","2009","0403"
"85272170","2010","0403"
"85272192","2008","0403"
"85272192","2009","0403"
"85272192","2010","0403"
"85272198","2008","0403"
"85272198","2009","0403"
"85272198","2010","0403"
"85279091","1996","0305"
"85392130","1996",""
"85392130","1997",""
"85437010","2010","0301"
"90066100","2008","0406"
"90066100","2009","0406"
"90066100","2010","0406"
"90084000","2008","0404"
"90084000","2009","0404"
"90084000","2010","0404"
"90151010","1995","0902"
"90151010","1996","0902"
"90151010","1997","0902"
"90151010","2002","0902"
"90152010","1995","0902"
"90152010","1996","0902"
"90152010","1997","0902"
"90152010","2002","0902"
"90153010","1995","0902"
"90153010","1996","0902"
"90153010","1997","0902"
"90153010","2002","0902"
"90154010","1995","0902"
"90154010","1996","0902"
"90154010","1997","0902"
"90154010","2002","0902"
"90158019","1999","0902"
"90158019","2000","0902"
"90158019","2001","0902"
"90158019","2002","0902"
"90184100","1995","0802"
"90184100","1996","0802"
"90184100","1997","0802"
"90184100","2004","0802"
"90184100","2005","0802"
"90184100","2006","0802"
"90184100","2007","0802"
"90184100","2008","0802"
"90184100","2009","0802"
"90184100","2010","0802"
"91011100","1996","0201"
"91011100","2006","0201"
"91011200","1996","0201"
"91011900","1996","0201"
"91011900","1997","0201"
"91019100","1997","0201"
"91021100","1997","0201"
"91021200","1997","0201"
"91021900","1997","0201"
"91022100","2004","0201"
"91022100","2006","0201"
"91029100","1997","0201"
"91029900","2004","0201"
"91029900","2006","0201"
"91029900","2007","0201"
"91031000","1997","0201"
"91039000","1997","0201"
"91039000","1995","0201"
"91039000","2004","0201"
"91039000","2005","0201"
"91039000","2006","0201"
"91039000","2007","0201"
"91051100","1997","0201"
"91052100","1997","0201"
"91052100","1995","0201"
"91059100","1999","0201"
"91059910","2005","0201"
"91059910","2006","0201"
"91059910","2007","0201"
"91059910","1995","0201"
"91059910","1996","0201"
"91059910","1997","0201"
"91059910","1998","0201"
"91070000","1995","0201"
"91070000","1996","0201"
"91070000","1997","0201"
"91070000","2002","0201"
"91070000","2003","0201"
"91070000","2004","0201"
"91070000","2005","0201"
"91070000","2006","0201"
"91070000","2007","0201"
"91070000","2008","0201"
"91070000","2009","0201"
"91070000","2010","0201"
"91081100","2008","0201"
"91081100","2009","0201"
"91081100","2010","0201"
"91081200","2008","0201"
"91081200","2009","0201"
"91081200","2010","0201"
"91081900","2008","0201"
"91081900","2009","0201"
"91081900","2010","0201"
"91091100","1999","0201"
"91091100","2005","0201"
"91091910","1999","0201"
"91091990","1999","0201"
"95030030","2008","0701"
"95030030","2009","0701"
"95030030","2010","0701"
"90191010","2015","0205"
"90191010","2014","0205"
"90191010","2013","0205"
"90191010","2012","0205"
"90191010","2011","0205"
"90191010","2010","0205"
"90191010","2009","0205"
"90191010","2008","0205"
"90191010","2007","0205"
"90191010","2006","0205"
"90191010","2005","0205"
"90191010","2004","0205"
"90191010","2003","0205"
"90191010","2002","0205"
"90191010","2001","0205"
"90191010","2000","0205"
"90191010","1999","0205"
"90191010","1998","0205"
"90191010","1997","0205"
"90191010","1996","0205"
"90191010","1995","0205"
"85284200","2017","0308"
"85284900","2017","0308"
"85437090","2015","0401"
"85437090","2014","0401"
"85437090","2013","0401"
"90283090","2015","0902"
"90283090","2014","0902"
"90283090","2013","0902"
"90283090","2012","0902"
"90283090","2011","0902"
"90283090","2010","0902"
"90283090","2009","0902"
"90283090","2008","0902"
