"CN","AverageWeight","Year"
"84705000",8,"2008"
"84705000",8,"2009"
"84705000",8,"2010"
"84705000",8,"2011"
"84705000",8,"2012"
"84705000",8,"2013"
"84705000",8,"2014"
"84709000",8,"2008"
"84709000",8,"2009"
"84709000",8,"2010"
"84709000",8,"2011"
"84709000",8,"2012"
"84709000",8,"2013"
"84709000",8,"2014"
"85198155",1.6,"2008"
"85198155",1.6,"2009"
"85198155",1.6,"2010"
"85198155",1.6,"2011"
"85198155",1.6,"2012"
"85198155",1.6,"2013"
"85198155",1.6,"2014"
"85198161",1.6,"2008"
"85198161",1.6,"2009"
"85198161",1.6,"2010"
"85198161",1.6,"2011"
"85198161",1.6,"2012"
"85198161",1.6,"2013"
"85198161",1.6,"2014"
"85198165",1.6,"2008"
"85198165",1.6,"2009"
"85198165",1.6,"2010"
"85198165",1.6,"2011"
"85198165",1.6,"2012"
"85198165",1.6,"2013"
"85198165",1.6,"2014"
"85198175",1.6,"2008"
"85198175",1.6,"2009"
"85198175",1.6,"2010"
"85198175",1.6,"2011"
"85198175",1.6,"2012"
"85198175",1.6,"2013"
"85198175",1.6,"2014"
"85198181",1.6,"2008"
"85198181",1.6,"2009"
"85198181",1.6,"2010"
"85198181",1.6,"2011"
"85198181",1.6,"2012"
"85198181",1.6,"2013"
"85198181",1.6,"2014"
"85198185",1.6,"2008"
"85198185",1.6,"2009"
"85198185",1.6,"2010"
"85198185",1.6,"2011"
"85198185",1.6,"2012"
"85198185",1.6,"2013"
"85198185",1.6,"2014"
"85198990",1.6,"2007"
"85198990",1.6,"2008"
"85198990",1.6,"2009"
"85198990",1.6,"2010"
"85198990",1.6,"2011"
"85198990",1.6,"2012"
"85198990",1.6,"2013"
"85198990",1.6,"2014"
"85437051",33.33,"2007"
"85437055",33.33,"2007"
"85437059",33.33,"2007"
"85438051",33.33,"1995"
"85438951",33.33,"1996"
"85438951",33.33,"1997"
"85438951",33.33,"1998"
"85438951",33.33,"1999"
"85438951",33.33,"2000"
"85438951",33.33,"2001"
"85438951",33.33,"2002"
"85438951",33.33,"2003"
"85438951",33.33,"2004"
"85438951",33.33,"2005"
"85438951",33.33,"2006"
"85438955",33.33,"1996"
"85438955",33.33,"1997"
"85438955",33.33,"1998"
"85438955",33.33,"1999"
"85438955",33.33,"2000"
"85438955",33.33,"2001"
"85438955",33.33,"2002"
"85438955",33.33,"2003"
"85438955",33.33,"2004"
"85438955",33.33,"2005"
"85438955",33.33,"2006"
"85438959",33.33,"1996"
"85438959",33.33,"1997"
"85438959",33.33,"1998"
"85438959",33.33,"1999"
"85438959",33.33,"2000"
"85438959",33.33,"2001"
"85438959",33.33,"2002"
"85438959",33.33,"2003"
"85438959",33.33,"2004"
"85438959",33.33,"2005"
"85438959",33.33,"2006"
"84705000",8,"2015"
"84709000",8,"2015"
"85198155",1.6,"2015"
"85198161",1.6,"2015"
"85198165",1.6,"2015"
"85198175",1.6,"2015"
"85198181",1.6,"2015"
"85198185",1.6,"2015"
"85198990",1.6,"2015"
