"UNU_Key","EU6PV","EU10PV"
"0001","4a","1"
"0002","4b","4b"
"0101","4a","1"
"0102","4a","1"
"0103","4a","1"
"0104","4a","1"
"0105","4a","1"
"0106","4a","1"
"0108","1","1"
"0109","1","1"
"0111","1","1"
"0112","1","1"
"0113","1","1"
"0114","5","1"
"0201","5","2"
"0202","5","2"
"0203","5","2"
"0204","5","2"
"0205","5","2"
"0301","6","3"
"0302","6","3"
"0303","2","3"
"0304","6","3"
"0305","6","3"
"0306","6","3"
"0307","4a","3"
"0308","2","3"
"0309","2","3"
"0401","5","4a"
"0402","5","4a"
"0403","5","4a"
"0404","5","4a"
"0405","5","4a"
"0406","5","4a"
"0407","2","4a"
"0408","2","4a"
"0501","5","5"
"0502","3","5"
"0503","3","5"
"0504","3","5"
"0505","3","5"
"0506","5","5"
"0507","5","5"
"0601","5","6"
"0602","4a","6"
"0701","5","7"
"0702","6","7"
"0703","5","7"
"0801","5","8"
"0802","4a","8"
"0901","5","9"
"0902","4a","9"
"1001","4a","10"
"1002","1","10"
