"UNU_Key","Description"
"0001","Central Heating (household installed)"
"0002","Photovoltaic Panels (incl. inverters)"
"0101","Professional Heating & Ventilation (excl. cooling equipment)"
"0102","Dishwashers"
"0103","Kitchen equipment (e.g. large furnaces, ovens, cooking equipment)"
"0104","Washing Machines (incl. combined dryers)"
"0105","Dryers (wash dryers, centrifuges)"
"0106","Household Heating & Ventilation (e.g. hoods, ventilators, space heaters)"
"0108","Fridges (incl. combi-fridges)"
"0109","Freezers"
"0111","Air Conditioners (household installed and portable)"
"0112","Other Cooling equipment (e.g. dehumidifiers, heat pump dryers)"
"0113","Professional Cooling equipment (e.g. large air conditioners, cooling displays)"
"0114","Microwaves (incl. combined, excl. grills)"
"0201","Other small household equipment (e.g. small ventilators, irons, clocks, adapters)"
"0202","Equipment for food preparation(e.g. toaster, grills, food processing, frying pans)"
"0203","Small household equipment for hot water preparation (e.g. coffee, tea, water cookers)"
"0204","Vacuum Cleaners (excl. professional)"
"0205","Personal Care equipment(e.g. tooth brushes, hair dryers, razors)"
"0301","Small IT equipment (e.g. routers, mice, keyboards, external drives & accessories)"
"0302","Desktop PCs (excl. monitors, accessoires)"
"0303","Laptops (incl. tablets)"
"0304","Printers (e.g. scanners, multi functionals, faxes)"
"0305","Telecommunication equipment (e.g. (cordless) phones, answering machines)"
"0306","Mobile Phones (incl. smartphones, pagers)"
"0307","Professional IT equipment (e.g. servers, routers, data storage, copiers)"
"0308","Cathode Ray Tube Monitors"
"0309","Flat Display Panel Monitors (LCD, LED)"
"0401","Small Consumer Electronics (e.g. headphones, remote controls)"
"0402","Portable Audio & Video (e.g. MP3, e-readers, car navigation)"
"0403","Music Instruments, Radio, Hi-Fi (incl. audio sets)"
"0404","Video (e.g. Video recorders, DVD, Blue Ray, set-top boxes) and projectors"
"0405","Speakers"
"0406","Cameras (e.g. camcorders, photo & digital still cameras)"
"0407","Cathode Ray Tube TVs"
"0408","Flat Display Panel TVs (LCD, LED, Plasma)"
"0501","Small lighting equipment (excl. LED & incandescent)"
"0502","Compact Fluorescent Lamps (incl. retrofit & non-retrofit)"
"0503","Straight Tube Fluorescent Lamps"
"0504","Special Lamps (e.g. professional mercury, high & low pressure sodium)"
"0505","LED Lamps (incl. retrofit LED lamps)"
"0506","Household Luminaires (incl. household incandescent fittings & household LED luminaires)"
"0507","Professional Luminaires (offices, public space, industry)"
"0601","Household Tools (e.g. drills, saws, high pressure cleaners, lawn mowers)"
"0602","Professional Tools (e.g. for welding, soldering, milling)"
"0701","Toys (e.g. car racing sets, electric trains, music toys, biking computers, drones)"
"0702","Game Consoles"
"0703","Leisure equipment (e.g. sports equipment, electric bikes, juke boxes)"
"0801","Household Medical equipment(e.g. thermometers, blood pressure meters)"
"0802","Professional Medical equipment (e.g. hospital, dentist, diagnostics)"
"0901","Household Monitoring & Control equipment (alarm, heat, smoke, excl. screens)"
"0902","Professional Monitoring & Control equipment (e.g. laboratory, control panels)"
"1001","Non- cooled Dispensers (e.g. for vending, hot drinks, tickets, money)"
"1002","Cooled Dispensers (e.g. for vending, cold drinks)"
"EU6PV_1","Temperature exchange equipment"
"EU6PV_2","Screens, monitors, and equipment containing screens (..)"
"EU6PV_3","Lamps"
"EU6PV_4a","Large equipment (excluding photovoltaic panels)"
"EU6PV_4b","Photovoltaic panels (incl. converters)"
"EU6PV_5","Small equipment"
"EU6PV_6","Small IT and telecommunication equipment"
"EU10PV_1","Large household appliances"
"EU10PV_2","Small household appliances"
"EU10PV_3","IT and telecommunications equipment"
"EU10PV_4a","Consumer equipment (excluding photovoltaic panels)"
"EU10PV_4b","Photovoltaic panels (incl. converters)"
"EU10PV_5","Lighting equipment"
"EU10PV_6","Electrical and electronic tools"
"EU10PV_7","Toys, leisure and sports equipment"
"EU10PV_8","Medical devices"
"EU10PV_9","Monitoring and control instruments"
"EU10PV_10","Automatic dispensers"
