"PCC","UNU_Key","Year"
"26516370","0902","2008"
"26516370","0902","2009"
"26516370","0902","2010"
"26516370","0902","2011"
"26516370","0902","2012"
"26516370","0902","2014"
"26516370","0902","2015"
"30021670","0301","2007"
"26201700","0308","2008"
"26201700","0308","2009"
"26201700","0308","2010"
"26201700","0308","2011"
"26201700","0308","2012"
"26201700","0308","2013"
"26201700","0308","2014"
"26201700","0308","2015"
"26402090","0407","2008"
"26402090","0407","2009"
"26402090","0407","2010"
"26402090","0407","2011"
"26402090","0407","2012"
"26402090","0407","2013"
"26402090","0407","2014"
"26402090","0407","2015"
"27901150","0301","2008"
"27901150","0301","2009"
"27901150","0301","2010"
"27901150","0301","2011"
"27901150","0301","2012"
"27901150","0301","2013"
"27901150","0301","2014"
"27901150","0301","2015"
"27511300","0104","2008"
"27511300","0104","2009"
"27511300","0104","2010"
"27511300","0104","2011"
"27511300","0104","2012"
"27511300","0104","2013"
"27511300","0104","2014"
"27511300","0104","2015"
"32303290","0403","2007"
"26403200","0403","2010"
"26403200","0403","2009"
"26403200","0403","2008"
"29231270","0113","1994"
"29231335","0113","1997"
"29231335","0113","1995"
"30021100","0301","1995"
"30021100","0301","1994"
"30021300","0302","1994"
"30021300","0302","1995"
"31501250","","1996"
"31501250","","1997"
"31501293","","1996"
"31501293","","1997"
"31501295","","1997"
"31501295","","1996"
"31503305","0507","2000"
"32302045","0308","1995"
"32302049","0309","1995"
"32304450","0305","1996"
"33201215","0902","1995"
"33201215","0902","1996"
"33201215","0902","1997"
"33201215","0902","2002"
"33201239","0902","1999"
"33201239","0902","2000"
"33201239","0902","2001"
"33201239","0902","2002"
"33501113","0201","1996"
"33501113","0201","2006"
"33501115","0201","1996"
"33501117","0201","1996"
"33501117","0201","1997"
"33501150","0201","1997"
"33501153","0201","1997"
"33501155","0201","1997"
"33501157","0201","1997"
"33501213","0201","1997"
"33501215","0201","1997"
"33501217","0201","1997"
"33501230","0201","2004"
"33501250","0201","1997"
"33501253","0201","1997"
"33501255","0201","1997"
"33501257","0201","1997"
"26516370","0902","2013"
"33501419","0201","1997"
"33501460","0201","1994"
"33501460","0201","1995"
"33501460","0201","1996"
"33501460","0201","1997"
"33501460","0201","1999"
"33501467","0201","1997"
"33502235","0201","1999"
"33502239","0201","1999"
"33502239","0201","2005"
"29246000","0102","1995"
"29246000","0102","1996"
"29246000","0102","1997"
"29246000","0102","1998"
"29246000","0102","1999"
"29246000","0102","2000"
"29246000","0102","2001"
"29246000","0102","2002"
"29246000","0102","2003"
"29246000","0102","2004"
"29246000","0102","2005"
"29246000","0102","2006"
"29246000","0102","2007"
"28295000","0102","2008"
"28295000","0102","2009"
"28295000","0102","2010"
"28295000","0102","2011"
"28295000","0102","2012"
"28295000","0102","2013"
"28295000","0102","2014"
"28295000","0102","2015"
"29231390","0112","2007"
"28251390","0112","2008"
"28251390","0112","2009"
"28251390","0112","2010"
"28251390","0112","2011"
"28251390","0112","2012"
"28251390","0112","2013"
"28251390","0112","2014"
"28251390","0112","2015"
"30012380","0307","2007"
"28232300","0307","2008"
"28232300","0307","2009"
"28232300","0307","2010"
"33403650","0404","1995"
"33403650","0404","1996"
"33403650","0404","1997"
"33403650","0404","1998"
"33403650","0404","1999"
"33403650","0404","2000"
"33403650","0404","2001"
"33403650","0404","2002"
"33403650","0404","2003"
"33403650","0404","2004"
"33403650","0404","2005"
"33403650","0404","2006"
"33403650","0404","2007"
"33403619","0406","1995"
"33403619","0406","1996"
"33403619","0406","1997"
"33403619","0406","1998"
"33403619","0406","1999"
"33403619","0406","2000"
"33403619","0406","2001"
"33403619","0406","2002"
"33403619","0406","2003"
"33403619","0406","2004"
"33403619","0406","2005"
"33403619","0406","2006"
"33403619","0406","2007"
"29405215","0601","1998"
"29405215","0601","1999"
"29405215","0601","2000"
"29405215","0601","2001"
"29405215","0601","2002"
"29405217","0601","1998"
"29405217","0601","1999"
"29405217","0601","2000"
"29405217","0601","2001"
"29405217","0601","2002"
"29405223","0601","1998"
"29405223","0601","1999"
"29405223","0601","2000"
"29405223","0601","2001"
"29405223","0601","2002"
"29405225","0601","1998"
"29405225","0601","1999"
"29405225","0601","2000"
"29405225","0601","2001"
"29405225","0601","2002"
"29405227","0601","1998"
"29405227","0601","1999"
"29405227","0601","2000"
"29405227","0601","2001"
"29405227","0601","2002"
"29405233","0601","1993"
"29405233","0601","1994"
"29405233","0601","1995"
"29405233","0601","1996"
"29405233","0601","1997"
"29405233","0601","1998"
"29405233","0601","1999"
"29405233","0601","2000"
"29405233","0601","2001"
"29405233","0601","2002"
"29405235","0601","1993"
"29405235","0601","1994"
"29405235","0601","1995"
"29405235","0601","1996"
"29405235","0601","1997"
"29405235","0601","1998"
"29405235","0601","1999"
"29405235","0601","2000"
"29405235","0601","2001"
"29405235","0601","2002"
"29405251","0601","1998"
"29405251","0601","1999"
"29405251","0601","2000"
"29405251","0601","2001"
"29405251","0601","2002"
"29405253","0601","1998"
"29405253","0601","1999"
"29405253","0601","2000"
"29405253","0601","2001"
"29405253","0601","2002"
"29405255","0601","1998"
"29405255","0601","1999"
"29405255","0601","2000"
"29405255","0601","2001"
"29405255","0601","2002"
"29405257","0601","1998"
"29405257","0601","1999"
"29405257","0601","2000"
"29405257","0601","2001"
"29405257","0601","2002"
"29405270","0601","1993"
"29405270","0601","1994"
"29405270","0601","1995"
"29405270","0601","1996"
"29405270","0601","1997"
"29405270","0601","1998"
"29405270","0601","1999"
"29405270","0601","2000"
"29405270","0601","2001"
"29405270","0601","2002"
"29405290","0601","1993"
"29405290","0601","1994"
"29405290","0601","1995"
"29405290","0601","1996"
"29405290","0601","1997"
"29405290","0601","1998"
"29405290","0601","1999"
"29405290","0601","2000"
"29405290","0601","2001"
"29405290","0601","2002"
"29406023","0601","1998"
"29406023","0601","1999"
"29406023","0601","2000"
"29406023","0601","2001"
"29406023","0601","2002"
"29406025","0601","1998"
"29406025","0601","1999"
"29406025","0601","2000"
"29406025","0601","2001"
"29406025","0601","2002"
"29406030","0601","1998"
"29406030","0601","1999"
"29406030","0601","2000"
"29406030","0601","2001"
"29406030","0601","2002"
"29406043","0601","1998"
"29406043","0601","1999"
"29406043","0601","2000"
"29406043","0601","2001"
"29406043","0601","2002"
"29406045","0601","1998"
"29406045","0601","1999"
"29406045","0601","2000"
"29406045","0601","2001"
"29406045","0601","2002"
"29406050","0601","1998"
"29406050","0601","1999"
"29406050","0601","2000"
"29406050","0601","2001"
"29406050","0601","2002"
"29411113","0601","2003"
"29411113","0601","2004"
"29411113","0601","2005"
"29411113","0601","2006"
"29411113","0601","2007"
"29411115","0601","2003"
"29411115","0601","2004"
"29411115","0601","2005"
"29411115","0601","2006"
"29411115","0601","2007"
"29411117","0601","2003"
"29411117","0601","2004"
"29411117","0601","2005"
"29411117","0601","2006"
"29411117","0601","2007"
"29411123","0601","2003"
"25211200","0001","2008"
"25211200","0001","2009"
"25211200","0001","2010"
"25211200","0001","2011"
"26122000","0301","2008"
"26122000","0301","2009"
"26122000","0301","2010"
"26122000","0301","2011"
"26201100","0303","2008"
"26201100","0303","2009"
"26201100","0303","2010"
"26201100","0303","2011"
"26201300","0302","2008"
"26201300","0302","2009"
"26201300","0302","2010"
"26201300","0302","2011"
"26201400","0302","2008"
"26201400","0302","2009"
"26201400","0302","2010"
"26201400","0302","2011"
"26201500","0302","2008"
"26201500","0302","2009"
"26201500","0302","2010"
"26201500","0302","2011"
"26201640","0304","2008"
"26201640","0304","2009"
"26201640","0304","2010"
"26201640","0304","2011"
"26201650","0301","2008"
"26201650","0301","2009"
"26201650","0301","2010"
"26201650","0301","2011"
"26201660","0301","2011"
"26201800","0304","2008"
"26201800","0304","2009"
"26201800","0304","2010"
"26201800","0304","2011"
"26202100","0301","2011"
"26203000","0308","2008"
"26203000","0308","2009"
"26203000","0308","2010"
"26203000","0308","2011"
"26301100","0404","2011"
"26301300","0404","2008"
"26301300","0404","2009"
"26301300","0404","2010"
"26301300","0404","2011"
"26302100","0305","2008"
"26302100","0305","2009"
"26302100","0305","2010"
"26302100","0305","2011"
"26302200","0306","2008"
"26302200","0306","2009"
"26302200","0306","2010"
"26302200","0306","2011"
"26302310","0306","2011"
"26302320","0305","2008"
"26302320","0305","2009"
"26302320","0305","2010"
"26302320","0305","2011"
"26302330","0305","2008"
"26302330","0305","2009"
"26302330","0305","2010"
"26302330","0305","2011"
"26302340","0305","2008"
"26302340","0305","2009"
"26302340","0305","2010"
"26302340","0305","2011"
"26302370","0306","2011"
"26305020","0901","2008"
"26305020","0901","2009"
"26305020","0901","2010"
"26305020","0901","2011"
"26305080","0901","2008"
"26305080","0901","2009"
"26305080","0901","2010"
"26305080","0901","2011"
"26401100","0402","2008"
"26401100","0402","2009"
"26401100","0402","2010"
"26401100","0402","2011"
"26401270","0403","2011"
"26401290","0403","2011"
"26403100","0403","2008"
"26403100","0403","2009"
"26403100","0403","2010"
"26403100","0403","2011"
"26403200","0403","2011"
"26403300","0404","2008"
"26403300","0404","2009"
"26403300","0404","2010"
"26403300","0404","2011"
"26403420","0407","2008"
"26403420","0407","2009"
"26403420","0407","2010"
"26403420","0407","2011"
"26403440","0308","2008"
"26403440","0308","2009"
"26403440","0308","2010"
"26403440","0308","2011"
"26403460","0309","2008"
"26403460","0309","2009"
"26403460","0309","2010"
"26403460","0309","2011"
"26403480","0308","2008"
"26403480","0308","2009"
"26403480","0308","2010"
"26403480","0308","2011"
"26404100","0401","2008"
"26404100","0401","2009"
"26404100","0401","2010"
"26404100","0401","2011"
"26404235","0405","2008"
"26404235","0405","2009"
"26404235","0405","2010"
"26404235","0405","2011"
"26404237","0405","2008"
"26404237","0405","2009"
"26404237","0405","2010"
"26404237","0405","2011"
"26404270","0401","2008"
"26404270","0401","2009"
"26404270","0401","2010"
"26404270","0401","2011"
"26404355","0601","2008"
"26404355","0601","2009"
"26404355","0601","2010"
"26404355","0601","2011"
"26404359","0403","2008"
"26404359","0403","2009"
"26404359","0403","2010"
"26404359","0403","2011"
"26404370","0403","2008"
"26404370","0403","2009"
"26404370","0403","2010"
"26404370","0403","2011"
"26404400","0305","2008"
"26404400","0305","2009"
"26404400","0305","2010"
"26404400","0305","2011"
"26406000","0702","2008"
"26406000","0702","2009"
"26406000","0702","2010"
"26406000","0702","2011"
"26511215","0902","2008"
"26511215","0902","2009"
"26511215","0902","2010"
"26511215","0902","2011"
"26511235","0902","2008"
"26511235","0902","2009"
"26511235","0902","2010"
"26511235","0902","2011"
"26511239","0902","2008"
"26511239","0902","2009"
"26511239","0902","2010"
"26511239","0902","2011"
"26513300","0901","2011"
"26514330","0901","2008"
"26514330","0901","2009"
"26514330","0901","2010"
"26514330","0901","2011"
"26514400","0305","2011"
"26514555","0901","2008"
"26514555","0901","2009"
"26514555","0901","2010"
"26514555","0901","2011"
"26515135","0901","2008"
"26515135","0901","2009"
"26515135","0901","2010"
"26515135","0901","2011"
"26515175","0901","2008"
"26515175","0901","2009"
"26515175","0901","2010"
"26515175","0901","2011"
"26515179","0901","2011"
"26515235","0901","2008"
"26515235","0901","2009"
"26515235","0901","2010"
"26515235","0901","2011"
"26515239","0901","2008"
"26515239","0901","2009"
"26515239","0901","2010"
"26515239","0901","2011"
"26515271","0901","2008"
"26515271","0901","2009"
"26515271","0901","2010"
"26515271","0901","2011"
"26515283","0901","2008"
"26515283","0901","2009"
"26515283","0901","2010"
"26515283","0901","2011"
"26515313","0901","2008"
"26515313","0901","2009"
"26515313","0901","2010"
"26515313","0901","2011"
"26515381","0901","2008"
"26515381","0901","2009"
"26515381","0901","2010"
"26515381","0901","2011"
"26515383","0901","2008"
"26515383","0901","2009"
"26515383","0901","2010"
"26515383","0901","2011"
"26516210","0902","2008"
"26516210","0902","2009"
"26516210","0902","2010"
"26516210","0902","2011"
"26516255","0902","2008"
"26516255","0902","2009"
"26516255","0902","2010"
"26516255","0902","2011"
"26516650","0901","2008"
"26516650","0901","2009"
"26516650","0901","2010"
"26516650","0901","2011"
"26516670","0901","2008"
"26516670","0901","2009"
"26516670","0901","2010"
"26516670","0901","2011"
"26517015","0901","2008"
"26517015","0901","2009"
"26517015","0901","2010"
"26517015","0901","2011"
"26521100","0201","2008"
"26521100","0201","2009"
"26521100","0201","2010"
"26521100","0201","2011"
"26521200","0201","2008"
"26521200","0201","2009"
"26521200","0201","2010"
"26521200","0201","2011"
"26521400","0201","2008"
"26521400","0201","2009"
"26521400","0201","2010"
"26521400","0201","2011"
"26522100","0201","2011"
"26522200","0201","2008"
"26522200","0201","2009"
"26522200","0201","2010"
"26522200","0201","2011"
"26522870","0201","2011"
"26601230","0802","2008"
"26601230","0802","2009"
"26601230","0802","2010"
"26601230","0802","2011"
"26601280","0802","2008"
"26601280","0802","2009"
"26601280","0802","2010"
"26601280","0802","2011"
"26601433","0801","2008"
"26601433","0801","2009"
"26601433","0801","2010"
"26601433","0801","2011"
"26701300","0406","2008"
"26701300","0406","2009"
"26701300","0406","2010"
"26701300","0406","2011"
"26701530","0404","2008"
"26701530","0404","2009"
"26701530","0404","2010"
"26701530","0404","2011"
"26701550","0404","2008"
"26701550","0404","2009"
"26701550","0404","2010"
"26701550","0404","2011"
"26701600","0404","2008"
"26701600","0404","2009"
"26701600","0404","2010"
"26701600","0404","2011"
"26701700","0404","2011"
"269900Z0","0301","2011"
"27401293","","2008"
"27401293","","2009"
"27401293","","2010"
"27401295","","2008"
"27401295","","2009"
"27401295","","2010"
"27401510","0503","2008"
"27401510","0503","2009"
"27401510","0503","2010"
"27401530","0502","2008"
"27401530","0502","2009"
"27401530","0502","2010"
"27401550","0504","2008"
"27401550","0504","2009"
"27401550","0504","2010"
"27401570","0503","2008"
"27401570","0503","2009"
"27401570","0503","2010"
"27402100","0501","2008"
"27402100","0501","2009"
"27402100","0501","2010"
"27402200","0506","2008"
"27402200","0506","2009"
