CN,Unit
01012100,p/st
01012910,p/st
01012990,p/st
01013000,p/st
01019000,p/st
01022110,p/st
01022130,p/st
01022190,p/st
01022905,p/st
01022910,p/st
01022921,p/st
01022929,p/st
01022941,p/st
01022949,p/st
01022951,p/st
01022959,p/st
01022961,p/st
01022969,p/st
01022991,p/st
01022999,p/st
01023100,p/st
01023910,p/st
01023990,p/st
01029020,p/st
01029091,p/st
01029099,p/st
01031000,p/st
01039110,p/st
01039190,p/st
01039211,p/st
01039219,p/st
01039290,p/st
01041010,p/st
01041030,p/st
01041080,p/st
01042010,p/st
01042090,p/st
01051111,p/st
01051119,p/st
01051191,p/st
01051199,p/st
01051200,p/st
01051300,p/st
01051400,p/st
01051500,p/st
01059400,p/st
01059910,p/st
01059920,p/st
01059930,p/st
01059950,p/st
01061100,p/st
01061200,p/st
01061300,p/st
01061410,p/st
01061490,-
01061900,-
01062000,p/st
01063100,p/st
01063200,p/st
01063300,p/st
01063910,p/st
01063980,-
01064100,-
01064900,-
01069000,-
02011000,-
02012020,-
02012030,-
02012050,-
02012090,-
02013000,-
02021000,-
02022010,-
02022030,-
02022050,-
02022090,-
02023010,-
02023050,-
02023090,-
02031110,-
02031190,-
02031211,-
02031219,-
02031290,-
02031911,-
02031913,-
02031915,-
02031955,-
02031959,-
02031990,-
02032110,-
02032190,-
02032211,-
02032219,-
02032290,-
02032911,-
02032913,-
02032915,-
02032955,-
02032959,-
02032990,-
02041000,-
02042100,-
02042210,-
02042230,-
02042250,-
02042290,-
02042300,-
02043000,-
02044100,-
02044210,-
02044230,-
02044250,-
02044290,-
02044310,-
02044390,-
02045011,-
02045013,-
02045015,-
02045019,-
02045031,-
02045039,-
02045051,-
02045053,-
02045055,-
02045059,-
02045071,-
02045079,-
02050020,-
02050080,-
02061010,-
02061095,-
02061098,-
02062100,-
02062200,-
02062910,-
02062991,-
02062999,-
02063000,-
02064100,-
02064900,-
02068010,-
02068091,-
02068099,-
02069010,-
02069091,-
02069099,-
02071110,-
02071130,-
02071190,-
02071210,-
02071290,-
02071310,-
02071320,-
02071330,-
02071340,-
02071350,-
02071360,-
02071370,-
02071391,-
02071399,-
02071410,-
02071420,-
02071430,-
02071440,-
02071450,-
02071460,-
02071470,-
02071491,-
02071499,-
02072410,-
02072490,-
02072510,-
02072590,-
02072610,-
02072620,-
02072630,-
02072640,-
02072650,-
02072660,-
02072670,-
02072680,-
02072691,-
02072699,-
02072710,-
02072720,-
02072730,-
02072740,-
02072750,-
02072760,-
02072770,-
02072780,-
02072791,-
02072799,-
02074120,-
02074130,-
02074180,-
02074230,-
02074280,-
02074300,-
02074410,-
02074421,-
02074431,-
02074441,-
02074451,-
02074461,-
02074471,-
02074481,-
02074491,-
02074499,-
02074510,-
02074521,-
02074531,-
02074541,-
02074551,-
02074561,-
02074571,-
02074581,-
02074593,-
02074595,-
02074599,-
02075110,-
02075190,-
02075210,-
02075290,-
02075300,-
02075410,-
02075421,-
02075431,-
02075441,-
02075451,-
02075461,-
02075471,-
02075481,-
02075491,-
02075499,-
02075510,-
02075521,-
02075531,-
02075541,-
02075551,-
02075561,-
02075571,-
02075581,-
02075593,-
02075595,-
02075599,-
02076005,-
02076010,-
02076021,-
02076031,-
02076041,-
02076051,-
02076061,-
02076081,-
02076091,-
02076099,-
02081010,-
02081090,-
02083000,-
02084010,-
02084020,-
02084080,-
02085000,-
02086000,-
02089010,-
02089030,-
02089060,-
02089070,-
02089098,-
02091011,-
02091019,-
02091090,-
02099000,-
02101111,-
02101119,-
02101131,-
02101139,-
02101190,-
02101211,-
02101219,-
02101290,-
02101910,-
02101920,-
02101930,-
02101940,-
02101950,-
02101960,-
02101970,-
02101981,-
02101989,-
02101990,-
02102010,-
02102090,-
02109100,-
02109210,-
02109291,-
02109292,-
02109299,-
02109300,-
02109910,-
02109921,-
02109929,-
02109931,-
02109939,-
02109941,-
02109949,-
02109951,-
02109959,-
02109971,-
02109979,-
02109985,-
02109990,-
03011100,-
03011900,-
03019110,-
03019190,-
03019210,-
03019230,-
03019290,-
03019300,-
03019410,-
03019490,-
03019500,-
