"UNU_Key","Year","Country","POM_kg_new","POM_pieces_new","POM_kg_original","POM_Pieces_original","Reason"
"0001","2009","ROU",16318886,528934,16318885.8,528934.3131,"No change, but this way we make sure that original values won't be changed as stratum outliers"
"0001","2010","ROU",21450976,695278,21450976.25,695277.7003,"No change, but this way we make sure that original values won't be changed as stratum outliers"
"0001","2011","ROU",20695871,670803,20695871.48,670802.9397,"No change, but this way we make sure that original values won't be changed as stratum outliers"
"0102","2001","FRA",53340300,1117473,47661233.02,1008848.85,"Corrected by inserting kpi from surrounding years"
"0102","2002","FRA",53717400,1125373,41579350.37,889262,"Corrected by inserting kpi from surrounding years"
"0102","2003","FRA",54091800,1133216,40701700.9,878612,"Corrected by inserting kpi from surrounding years"
"0103","2003","CYP",838902,18917,1222395.6,27310,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2004","CYP",848617,19136,1350440.097,29894,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2005","CYP",1039847,23449,1320245.029,28960,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2006","CYP",991240,22353,1502729.331,32666,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2007","CYP",830613,18730,1456105.772,31370,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2008","CYP",882809,19907,1296668.594,27688,"Outlier detection with Feng. Corrected with ratio GRC"
"0103","2002","PRT",10658590,242898,1705004.02,38448,"Low outlier, corrected with ratio ESP"
"0103","2003","PRT",13779447,314019,841264.2,18795,"Low outlier, corrected with ratio ESP"
"0103","2004","PRT",12670443,288746,3202043.72,70882,"Low outlier, corrected with ratio ESP"
"0104","2004","DEU",157742401,2216195,137835676,1936516,"Feng, corrected with ratio BEL PPI"
"0104","2005","DEU",163059391,2283608,141561281.4,1982532,"Feng, corrected with ratio BEL PPI"
"0104","2006","DEU",188716180,2634544,155199876.6,2166645,"Feng, corrected with ratio BEL PPI"
"0104","2007","DEU",193782790,2696725,144844100.8,2015683,"Feng, corrected with ratio BEL PPI"
"0104","2008","DEU",229420990,3180901,175042180.3,2426943.767,"Feng, corrected with ratio BEL PPI"
"0104","2009","DEU",264577112,3658784,204877220.7,2833206,"Feng, corrected with ratio BEL PPI"
"0104","2010","DEU",243684789,3359316,237982703.4,3280710,"Feng, corrected with ratio BEL PPI"
"0104","1999","ESP",125521790,1758003,96354000,1378873,"Corrected with ratio Italy"
"0104","2000","ESP",102029832,1428985,92201000,1319440,"Corrected with ratio Italy"
"0104","2001","ESP",105104696,1472050,85550000,1224265,"Corrected with ratio Italy"
"0104","2002","ESP",94596715,1324880,85009000,1216522,"Corrected with ratio Italy"
"0104","2003","ESP",105582032,1478735,84648000,1211352,"Corrected with ratio Italy"
"0104","2004","ESP",116991240,1638528,94410000,1351050,"Corrected with ratio Italy"
"0104","2006","ESP",149495506,2093768,173899000,2427743,"Corrected with ratio AUT"
"0104","2007","FIN",13701586,191283,27166916,378106,"Corrected with ratio DNK"
"0104","2008","FIN",13233119,184743,27483239,381288,"Corrected with ratio DNK"
"0104","1995","FRA",111070825,1601367,192390906.7,2773802,"Feng, corrected with ratio Dutch PPI"
"0104","1996","FRA",116199185,1675305,155401010.6,2240499,"Feng, corrected with ratio Dutch PPI"
"0104","1997","FRA",113323100,1628506,154731117.8,2223559,"Feng, corrected with ratio Dutch PPI"
"0104","1998","FRA",127695045,1829068,184529559.5,2643149,"Feng, corrected with ratio Dutch PPI"
"0104","1999","FRA",150853740,2153779,201346974,2874684,"Feng, corrected with ratio Dutch PPI"
"0104","2003","FRA",228538270,3228381,232760616.3,3279317.21,"Corrected with ratio data from Spain"
"0104","2004","FRA",209242641,2955807,264334185.5,3713751,"Corrected with average ratio data from Spain based on 2003 en 2005"
"0104","2005","FRA",189840829,2681733,275429536.4,3857325,"Corrected with ratio data from Spain"
