"UNU_Key","Country","Year","kg","units"
"0002","AUT","1990",0,0
"0002","AUT","1991",0,0
"0002","AUT","1992",137400,11450
"0002","AUT","1993",0,0
"0002","AUT","1994",0,0
"0002","AUT","1995",0,0
"0002","AUT","1996",117800,9816.66666666667
"0002","AUT","1997",0,0
"0002","AUT","1998",110000,9166.66666666667
"0002","AUT","1999",104800,8733.33333333334
"0002","AUT","2000",99600,8300
"0002","AUT","2001",201800,16816.6666666667
"0002","AUT","2002",191400,15950
"0002","AUT","2003",1407400,117283.333333333
"0002","AUT","2004",338600,28216.6666666667
"0002","AUT","2005",220800,18400
"0002","AUT","2006",546000,45500
"0002","AUT","2007",344000,28666.6666666667
"0002","AUT","2008",806000,-86366.6666666667
"0002","AUT","2009",1997000,99850
"0002","AUT","2010",7565000,378250
"0002","AUT","2011",14045000,702250
"0002","AUT","2012",3005000,150250
"0002","AUT","2013",20740000,1037000
"0002","AUT","2014",8487000,424350
"0002","AUT","2015",6082000,304100
"0002","AUT","2016",10082000,504100
"0002","AUT","2017",17864730,893236.5
"0002","AUT","2018",22509560,1125478
"0002","AUT","2019",28362050,1418102.5
"0002","AUT","2020",35736180,1786809
"0002","AUT","2021",45027590,2251379.5
"0002","BEL","1990",0,0
"0002","BEL","1991",0,0
"0002","BEL","1992",0,0
"0002","BEL","1993",0,0
"0002","BEL","1994",0,0
"0002","BEL","1995",0,0
"0002","BEL","1996",0,0
"0002","BEL","1997",0,0
"0002","BEL","1998",0,0
"0002","BEL","1999",0,0
"0002","BEL","2000",0,0
"0002","BEL","2001",0,0
"0002","BEL","2002",104800,8733.33333333333
"0002","BEL","2003",0,0
"0002","BEL","2004",0,0
"0002","BEL","2005",94400,7866.66666666667
"0002","BEL","2006",0,0
"0002","BEL","2007",1708000,142333.333333333
"0002","BEL","2008",3928000,133066.666666667
"0002","BEL","2009",30070000,1503500
"0002","BEL","2010",47270000,2363500
"0002","BEL","2011",40631000,2031550
"0002","BEL","2012",98167000,4908350
"0002","BEL","2013",20560000,1028000
"0002","BEL","2014",0,0
"0002","BEL","2015",0,0
"0002","BEL","2016",12922000,646100
"0002","BEL","2017",12453180,622659
"0002","BEL","2018",13200370,660018.5
"0002","BEL","2019",13992400,699620
"0002","BEL","2020",14831940,741597
"0002","BEL","2021",15721860,786093
"0002","BGR","1990",0,0
"0002","BGR","1991",0,0
"0002","BGR","1992",0,0
"0002","BGR","1993",0,0
"0002","BGR","1994",0,0
"0002","BGR","1995",0,0
"0002","BGR","1996",0,0
"0002","BGR","1997",0,0
"0002","BGR","1998",0,0
"0002","BGR","1999",0,0
"0002","BGR","2000",0,0
"0002","BGR","2001",0,0
"0002","BGR","2002",0,0
"0002","BGR","2003",0,0
"0002","BGR","2004",0,0
"0002","BGR","2005",0,0
"0002","BGR","2006",0,0
"0002","BGR","2007",0,0
"0002","BGR","2008",0,0
"0002","BGR","2009",186000,9300
"0002","BGR","2010",2114000,105700
"0002","BGR","2011",11406000,570300
"0002","BGR","2012",73412000,3670600
"0002","BGR","2013",0,0
"0002","BGR","2014",0,0
"0002","BGR","2015",0,0
"0002","CHE","2016",20377000,1018850
"0002","CHE","2017",16253900,812695
"0002","CHE","2018",18691980,934599
"0002","CHE","2019",21495780,1074789
"0002","CHE","2020",24720150,1236007.5
"0002","CHE","2021",28428170,1421408.5
"0002","CYP","2005",NA,NA
"0002","CYP","2006",0,0
"0002","CYP","2007",0,0
"0002","CYP","2008",93000,1483.33333333333
"0002","CYP","2009",184000,9200
"0002","CYP","2010",272000,13600
"0002","CYP","2011",246000,12300
"0002","CYP","2012",572000,28600
"0002","CYP","2013",1443000,72150
"0002","CYP","2014",2023000,101150
"0002","CYP","2015",468000,23400
