"Country","Year","Value","Destination"
"AFG",1980,NA,"pop 17"
"ALB",1980,2671000,"pop 17"
"DZA",1980,18666000,"pop 17"
"AGO",1980,7540000,"pop 17"
"ATG",1980,63000,"pop 17"
"ARG",1980,27730000,"pop 17"
"ARM",1980,NA,"pop 17"
"AUS",1980,14802000,"pop 17"
"AUT",1980,7549000,"pop 17"
"AZE",1980,NA,"pop 17"
"COL",1980,28447000,"pop 17"
"BHS",1980,211000,"pop 17"
"BHR",1980,347000,"pop 17"
"BGD",1980,80624000,"pop 17"
"BRB",1980,250000,"pop 17"
"BLR",1980,NA,"pop 17"
"BEL",1980,9855000,"pop 17"
"BLZ",1980,150000,"pop 17"
"BEN",1980,3555000,"pop 17"
"BTN",1980,431000,"pop 17"
"BOL",1980,4996000,"pop 17"
"BIH",1980,NA,"pop 17"
"BWA",1980,908000,"pop 17"
"BRA",1980,120812000,"pop 17"
"BRN",1980,NA,"pop 17"
"BGR",1980,8862000,"pop 17"
"BFA",1980,7580000,"pop 17"
"BDI",1980,4090000,"pop 17"
"KHM",1980,NA,"pop 17"
"CMR",1980,8823000,"pop 17"
"CAN",1980,24471000,"pop 17"
"CPV",1980,262000,"pop 17"
"CAF",1980,2310000,"pop 17"
"TCD",1980,4412000,"pop 17"
"CHL",1980,11174000,"pop 17"
"CHN",1980,987050000,"pop 17"
"COM",1980,346000,"pop 17"
"COD",1980,29820000,"pop 17"
"COG",1980,1597000,"pop 17"
"CRI",1980,NA,"pop 17"
"CIV",1980,8330000,"pop 17"
"HRV",1980,4598095,"pop 17"
"CYP",1980,514000,"pop 17"
"CZE",1980,10283000,"pop 17"
"DNK",1980,5122000,"pop 17"
"DJI",1980,NA,"pop 17"
"DMA",1980,NA,"pop 17"
"DOM",1980,5438000,"pop 17"
"ECU",1980,8184000,"pop 17"
"EGY",1980,40554000,"pop 17"
"SLV",1980,4985000,"pop 17"
"GNQ",1980,NA,"pop 17"
"ERI",1980,NA,"pop 17"
"EST",1980,1477000,"pop 17"
"ETH",1980,35443000,"pop 17"
"FJI",1980,634000,"pop 17"
"GIN",1980,NA,"pop 17"
"FIN",1980,4788000,"pop 17"
"FRA",1980,53731000,"pop 17"
"GAB",1980,748000,"pop 17"
"GMB",1980,587000,"pop 17"
"GEO",1980,NA,"pop 17"
"DEU",1980,76853000,"pop 17"
"GHA",1980,10015000,"pop 17"
"GRC",1980,9643000,"pop 17"
"GRD",1980,89000,"pop 17"
"GTM",1980,6395000,"pop 17"
"GNB",1980,758000,"pop 17"
"GUY",1980,733000,"pop 17"
"HTI",1980,5926000,"pop 17"
"HND",1980,3673000,"pop 17"
"HKG",1980,5060000,"pop 17"
"HUN",1980,10710000,"pop 17"
"ISL",1980,229000,"pop 17"
"IND",1980,682250000,"pop 17"
"IDN",1980,147490000,"pop 17"
"IRN",1980,38350000,"pop 17"
"IRQ",1980,NA,"pop 17"
"IRL",1980,3401000,"pop 17"
"ISR",1980,3746000,"pop 17"
"ITA",1980,56389000,"pop 17"
"JAM",1980,2111000,"pop 17"
"JPN",1980,116732000,"pop 17"
"JOR",1980,2233000,"pop 17"
"KAZ",1980,NA,"pop 17"
"KEN",1980,17050000,"pop 17"
"KIR",1980,60000,"pop 17"
"KOR",1980,38124000,"pop 17"
"UVK",1980,NA,"pop 17"
"KWT",1980,1370000,"pop 17"
"KGZ",1980,NA,"pop 17"
"LAO",1980,3238000,"pop 17"
"LVA",1980,2512000,"pop 17"
"LBN",1980,2670000,"pop 17"
"LSO",1980,1204000,"pop 17"
"LBR",1980,NA,"pop 17"
"LBY",1980,3040000,"pop 17"
"LTU",1980,3413000,"pop 17"
"LUX",1980,365000,"pop 17"
"MKD",1980,1795000,"pop 17"
"MDG",1980,8780000,"pop 17"
"MWI",1980,6564000,"pop 17"
"MYS",1980,13885000,"pop 17"
"MDV",1980,152000,"pop 17"
"MLI",1980,6379000,"pop 17"
"MLT",1980,312000,"pop 17"
"MHL",1980,NA,"pop 17"
"MRT",1980,NA,"pop 17"
"MUS",1980,967000,"pop 17"
"MEX",1980,67570000,"pop 17"
"FSM",1980,NA,"pop 17"
"MDA",1980,NA,"pop 17"
"MNG",1980,NA,"pop 17"
"MNE",1980,583000,"pop 17"
"MAR",1980,19332000,"pop 17"
"MOZ",1980,12095000,"pop 17"
"MMR",1980,NA,"pop 17"
"NAM",1980,NA,"pop 17"
"NPL",1980,15163000,"pop 17"
"NLD",1980,14150000,"pop 17"
"NZL",1980,3113000,"pop 17"
"NIC",1980,NA,"pop 17"
"NER",1980,5689000,"pop 17"
"NGA",1980,68447000,"pop 17"
"NOR",1980,4092000,"pop 17"
"OMN",1980,1357000,"pop 17"
"PAK",1980,82432000,"pop 17"
"PAN",1980,1956000,"pop 17"
"PNG",1980,2960000,"pop 17"
"PRY",1980,3114000,"pop 17"
"PER",1980,17324000,"pop 17"
"PHL",1980,48320000,"pop 17"
"POL",1980,35567000,"pop 17"
"PRT",1980,9770000,"pop 17"
"QAT",1980,217000,"pop 17"
"ROU",1980,22420000,"pop 17"
"RUS",1980,NA,"pop 17"
"RWA",1980,5160000,"pop 17"
"WSM",1980,NA,"pop 17"
"SMR",1980,NA,"pop 17"
"STP",1980,90000,"pop 17"
"SAU",1980,9320000,"pop 17"
"SEN",1980,5477000,"pop 17"
"SRB",1980,7688000,"pop 17"
"SYC",1980,63000,"pop 17"
"SLE",1980,2875000,"pop 17"
"SGP",1980,2533000,"pop 17"
"SVK",1980,4963301,"pop 17"
"SVN",1980,1893064,"pop 17"
"SLB",1980,230000,"pop 17"
"ZAF",1980,29140000,"pop 17"
"SSD",1980,NA,"pop 17"
