"UNU_Key","Country","Year","Value","Parameter","Description"
"0","AUT","2005",7.81,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BEL","2005",20.4,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CYP","2005",31.76,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FIN","2005",10.06,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GRC","2005",13.93,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HUN","2005",12.81,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LTU","2005",14.59,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LUX","2005",16.53,"EEE_KG_INH_EUROSTAT","eurostat"
"0","MLT","2005",24.4,"EEE_KG_INH_EUROSTAT","eurostat"
"0","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","NOR","2005",84.53,"EEE_KG_INH_EUROSTAT","eurostat"
"0","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","PRT","2005",16.89,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVK","2005",9.03,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SWE","2005",9.41,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","AUT","2005",3.45,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BEL","2005",7.11,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CYP","2005",22.56,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FIN","2005",4.36,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","GRC","2005",9.15,"EEE_KG_INH_EUROSTAT","eurostat"
"01","HUN","2005",6.18,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LTU","2005",8.48,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LUX","2005",6.56,"EEE_KG_INH_EUROSTAT","eurostat"
"01","MLT","2005",14.14,"EEE_KG_INH_EUROSTAT","eurostat"
"01","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","NOR","2005",18.84,"EEE_KG_INH_EUROSTAT","eurostat"
"01","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","PRT","2005",9.19,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SVK","2005",4.47,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SWE","2005",4.21,"EEE_KG_INH_EUROSTAT","eurostat"
"01","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","AUT","2005",0.55,"EEE_KG_INH_EUROSTAT","eurostat"
"02","BEL","2005",3.82,"EEE_KG_INH_EUROSTAT","eurostat"
"02","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","CYP","2005",2.63,"EEE_KG_INH_EUROSTAT","eurostat"
"02","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","FIN","2005",0.65,"EEE_KG_INH_EUROSTAT","eurostat"
"02","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GRC","2005",0.85,"EEE_KG_INH_EUROSTAT","eurostat"
"02","HUN","2005",0.97,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LTU","2005",0.72,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LUX","2005",3.31,"EEE_KG_INH_EUROSTAT","eurostat"
"02","MLT","2005",1.55,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NOR","2005",2.05,"EEE_KG_INH_EUROSTAT","eurostat"
"02","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","PRT","2005",1.78,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVK","2005",0.57,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SWE","2005",1.01,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","AUT","2005",1.38,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BEL","2005",3.12,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CYP","2005",2.42,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FIN","2005",1.63,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GRC","2005",1.19,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HUN","2005",1.22,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LTU","2005",1.64,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LUX","2005",1.2,"EEE_KG_INH_EUROSTAT","eurostat"
"03","MLT","2005",2.15,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NOR","2005",7.51,"EEE_KG_INH_EUROSTAT","eurostat"
"03","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","PRT","2005",2.11,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVK","2005",0.79,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SWE","2005",1.82,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","AUT","2005",1.71,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BEL","2005",3.33,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CYP","2005",0.67,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FIN","2005",1.43,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GRC","2005",2.02,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HUN","2005",3.18,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LTU","2005",2.12,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LUX","2005",3.58,"EEE_KG_INH_EUROSTAT","eurostat"
"04","MLT","2005",2.66,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NOR","2005",40.97,"EEE_KG_INH_EUROSTAT","eurostat"
"04","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","PRT","2005",1.66,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVK","2005",1.77,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SWE","2005",1.21,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","AUT","2005",0.17,"EEE_KG_INH_EUROSTAT","eurostat"
"05","BEL","2005",1.79,"EEE_KG_INH_EUROSTAT","eurostat"
