"UNU_Key","Country","ExtrapolationApproach","ConnectionYear","YearsForTrend"
"0001","LVA","LastReliableConstant",2014,NA
"0001","ROU","LastReliableConstant",2014,NA
"0503","NLD","LastReliableConstant",NA,NA
"0701","GBR","LastReliableConstant",NA,NA
"0701","SWE","LastReliableConstant",NA,NA
"0801","AUT","LastReliableConstant",NA,NA
"0801","FIN","LastReliableConstant",NA,NA
"1002","AUT","LastReliableConstant",NA,NA
"0112","DNK","LastReliableConstant",NA,NA
"0306","IRL","LastReliableConstant",NA,NA
"0111","BEL","LastReliableConstant",NA,NA
"0111","DNK","LastReliableConstant",NA,NA
"0111","ITA","LastReliableConstant",NA,NA
"0112","FIN","LastReliableConstant",NA,NA
"0306","AUT","LastReliableConstant",2012,NA
"0507","LUX","LastReliableConstant",2011,NA
"0204","BEL","LastReliableConstant",2013,NA
"0106","LUX","LastReliableConstant",2012,NA
"0111","DEU","LastReliableConstant",NA,NA
"0502","SVK","LastReliableConstant",2013,NA
"0111","MLT","LastReliableConstant",2013,NA
"0302","MLT","LastReliableConstant",2013,NA
"0306","DNK","LastReliableConstant",2013,NA
"0306","ESP","LastReliableConstant",2013,NA
"0309","POL","LastReliableConstant",2013,NA
"0101","GBR","ConnectionConstant",2013,NA
"0111","ESP","LastReliableConstant",2014,NA
"0111","GRC","LastReliableConstant",2014,NA
"0301","BEL","LastReliableConstant",2014,NA
"0401","PRT","LastReliableConstant",2014,NA
"0104","POL","LastReliableConstant",2014,NA
"0104","SVK","LastReliableConstant",2014,NA
"0104","SVN","LastReliableConstant",2014,NA
"0505","DNK","LastReliableConstant",2014,NA
"0802","POL","LastReliableConstant",2014,NA
"0703","DNK","ConnectionConstant",2015,NA
"0601","","LastReliableConstant",NA,NA
"0001","SVN","LastReliableConstant",2011,NA
"0101","HRV","LastReliableConstant",2013,NA
"0102","CYP","LastReliableConstant",NA,NA
"0102","DEU","LastReliableConstant",NA,NA
"0102","DNK","LastReliableConstant",2014,NA
"0102","FIN","LastReliableConstant",NA,NA
"0102","FRA","LastReliableConstant",NA,NA
"0102","HRV","LastReliableConstant",NA,NA
"0102","HUN","LastReliableConstant",NA,NA
"0102","IRL","LastReliableConstant",NA,NA
"0102","ITA","LastReliableConstant",NA,NA
"0102","NLD","LastReliableConstant",NA,NA
"0102","SWE","LastReliableConstant",2014,NA
"0103","CYP","LastReliableConstant",2014,NA
"0103","DEU","LastReliableConstant",NA,NA
"0103","DNK","LastReliableConstant",2014,NA
"0103","ESP","LastReliableConstant",2007,NA
"0103","GBR","LastReliableConstant",NA,NA
"0103","HRV","LastReliableConstant",NA,NA
"0103","HUN","LastReliableConstant",NA,NA
"0103","IRL","LastReliableConstant",NA,NA
"0103","NLD","LastReliableConstant",2014,NA
"0103","POL","LastReliableConstant",NA,NA
"0103","PRT","LastReliableConstant",NA,NA
"0103","ROU","LastReliableConstant",NA,NA
"0103","SVK","LastReliableConstant",NA,NA
"0103","SWE","LastReliableConstant",NA,NA
"0104","BEL","LastReliableConstant",2007,NA
"0104","CYP","ConnectionConstant",NA,NA
"0104","DEU","LastReliableConstant",NA,NA
"0104","IRL","LastReliableConstant",NA,NA
"0104","ITA","ConnectionConstant",NA,NA
"0104","MLT","LastReliableConstant",NA,NA
"0104","NLD","ConnectionConstant",2013,NA
"0104","SWE","LastReliableConstant",NA,NA
"0105","BEL","ConnectionConstant",NA,NA
"0105","BGR","ConnectionConstant",NA,NA
"0105","DNK","ConnectionConstant",NA,NA
"0105","FRA","LastReliableConstant",NA,NA
"0105","GBR","LastReliableConstant",2012,NA
"0105","HRV","ConnectionConstant",NA,NA
"0105","IRL","LastReliableConstant",NA,NA
"0105","LTU","ConnectionConstant",NA,NA
"0105","MLT","ConnectionConstant",NA,NA
"0105","NLD","LastReliableConstant",2014,NA
"0105","SWE","LastReliableConstant",2014,NA
"0106","CYP","LastReliableConstant",NA,NA
"0106","IRL","LastReliableConstant",NA,NA
"0106","SWE","LastReliableConstant",NA,NA
"0108","CYP","LastReliableConstant",2012,NA
"0108","POL","LastReliableConstant",2012,NA
"0108","SWE","LastReliableConstant",2013,NA
"0109","CZE","LastReliableConstant",NA,NA
"0109","IRL","LastReliableConstant",NA,NA
"0109","MLT","ConnectionConstant",NA,NA
"0109","NLD","LastReliableConstant",NA,NA
"0109","SWE","LastReliableConstant",2014,NA
"0113","CYP","LastReliableConstant",NA,NA
"0113","ESP","LastReliableConstant",2014,NA
"0113","IRL","LastReliableConstant",NA,NA
"0113","SVN","LastReliableConstant",NA,NA
"0113","SWE","LastReliableConstant",2013,NA
"0114","CYP","LastReliableConstant",NA,NA
"0114","DNK","LastReliableConstant",NA,NA
"0114","GBR","LastReliableConstant",NA,NA
"0114","IRL","LastReliableConstant",NA,NA
"0114","MLT","LastReliableConstant",NA,NA
"0114","NLD","ConnectionConstant",NA,NA
"0114","ROU","LastReliableConstant",NA,NA
"0114","SVK","LastReliableConstant",NA,NA
"0202","CYP","LastReliableConstant",2014,NA
"0202","CZE","LastReliableConstant",NA,NA
"0202","ESP","LastReliableConstant",NA,NA
"0202","GBR","LastReliableConstant",NA,NA
"0202","HUN","LastReliableConstant",NA,NA
"0202","IRL","LastReliableConstant",NA,NA
"0202","NLD","LastReliableConstant",NA,NA
"0202","SWE","LastReliableConstant",NA,NA
"0203","DEU","ConnectionConstant",NA,NA
"0203","DNK","ConnectionConstant",NA,NA
"0203","NLD","LastReliableConstant",NA,NA
"0203","PRT","LastReliableConstant",NA,NA
"0203","ROU","LastReliableConstant",NA,NA
"0204","GBR","ConnectionConstant",2013,NA
"0204","IRL","LastReliableConstant",NA,NA
