"Year","kg_per_Mw","kg_per_panel"
"1980",168000,NA
"1981",165900,NA
"1982",163800,NA
"1983",161700,NA
"1984",159600,NA
"1985",157500,NA
"1986",155400,NA
"1987",153300,NA
"1988",151200,NA
"1989",149100,NA
"1990",147000,12
"1991",142200,12
"1992",137400,12
"1993",132600,12
"1994",127800,12
"1995",123000,12
"1996",120400,12
"1997",117800,12
"1998",115200,12
"1999",112600,12
"2000",110000,12
"2001",107400,12
"2002",104800,12
"2003",102200,12
"2004",99600,12
"2005",97000,12
"2006",96000,12
"2007",95000,12
"2008",94000,20
"2009",93000,20
"2010",92000,20
"2011",89000,20
"2012",86000,20
"2013",83000,20
"2014",77000,20
"2015",71000,20
"2016",65000,20
"2017",65000,20
"2018",65000,20
"2019",65000,20
"2020",65000,20
"2021",65000,20
