"Country","Year","POM_t","Source"
"DEU","2016",100465,"IRENA.org"
"TUR","2016",39334,"IRENA.org"
"FRA","2016",44233,"IRENA.org"
"GBR","2016",170258,"IRENA.org"
"ITA","2016",26270,"IRENA.org"
"NLD","2016",36707,"IRENA.org"
"AUT","2016",10082,"IRENA.org"
"ESP","2016",3266,"IRENA.org"
"POL","2016",6958,"IRENA.org"
"CHE","2016",20377,"IRENA.org"
"GRC","2016",355,"IRENA.org"
"BEL","2016",12922,"IRENA.org"
"IRL","2016",923,"IRENA.org"
"DEU","2017",147042.02,"IRENA.org"
"TUR","2017",29511.95,"IRENA.org"
"FRA","2017",76510.78,"IRENA.org"
"GBR","2017",48319.73,"IRENA.org"
"ITA","2017",43364.7,"IRENA.org"
"NLD","2017",39975.22,"IRENA.org"
"AUT","2017",17864.73,"IRENA.org"
"ESP","2017",15360.91,"IRENA.org"
"POL","2017",7689.14,"IRENA.org"
"CHE","2017",16253.9,"IRENA.org"
"GRC","2017",11743.67,"IRENA.org"
"BEL","2017",12453.18,"IRENA.org"
"IRL","2017",37830.84,"IRENA.org"
"DEU","2018",154394.12,"IRENA.org"
"TUR","2018",45743.53,"IRENA.org"
"FRA","2018",88752.5,"IRENA.org"
"GBR","2018",51702.11,"IRENA.org"
"ITA","2018",44665.64,"IRENA.org"
"NLD","2018",52767.3,"IRENA.org"
"AUT","2018",22509.56,"IRENA.org"
"ESP","2018",15975.35,"IRENA.org"
"POL","2018",12763.98,"IRENA.org"
"CHE","2018",18691.98,"IRENA.org"
"GRC","2018",12565.73,"IRENA.org"
"BEL","2018",13200.37,"IRENA.org"
"IRL","2018",39722.38,"IRENA.org"
"DEU","2019",162113.83,"IRENA.org"
"TUR","2019",70902.47,"IRENA.org"
"FRA","2019",102952.9,"IRENA.org"
"GBR","2019",55321.26,"IRENA.org"
"ITA","2019",46005.61,"IRENA.org"
"NLD","2019",69652.83,"IRENA.org"
"AUT","2019",28362.05,"IRENA.org"
"ESP","2019",16614.37,"IRENA.org"
"POL","2019",21188.21,"IRENA.org"
"CHE","2019",21495.78,"IRENA.org"
"GRC","2019",13445.33,"IRENA.org"
"BEL","2019",13992.4,"IRENA.org"
"IRL","2019",41708.5,"IRENA.org"
"DEU","2020",170219.52,"IRENA.org"
"TUR","2020",109898.83,"IRENA.org"
"FRA","2020",119425.37,"IRENA.org"
"GBR","2020",59193.75,"IRENA.org"
"ITA","2020",47385.78,"IRENA.org"
"NLD","2020",91941.74,"IRENA.org"
"AUT","2020",35736.18,"IRENA.org"
"ESP","2020",17278.94,"IRENA.org"
"POL","2020",35172.42,"IRENA.org"
"CHE","2020",24720.15,"IRENA.org"
"GRC","2020",14386.5,"IRENA.org"
"BEL","2020",14831.94,"IRENA.org"
"IRL","2020",43793.93,"IRENA.org"
"DEU","2021",178730.49,"IRENA.org"
"TUR","2021",170343.19,"IRENA.org"
"FRA","2021",138533.43,"IRENA.org"
"GBR","2021",63337.31,"IRENA.org"
"ITA","2021",48807.35,"IRENA.org"
"NLD","2021",121363.1,"IRENA.org"
"AUT","2021",45027.59,"IRENA.org"
"ESP","2021",17970.1,"IRENA.org"
"POL","2021",58386.23,"IRENA.org"
"CHE","2021",28428.17,"IRENA.org"
"GRC","2021",15393.56,"IRENA.org"
"BEL","2021",15721.86,"IRENA.org"
"IRL","2021",45983.62,"IRENA.org"
